day,contact_language,incoming,backlog_start_of_the_day,backlog24hrs_start_of_the_day,head_sla
2023-01-31,de,1716,,,0.8531468531468531
2023-01-31,en,1145,,,0.9196506550218341
2023-01-31,es,390,,,0.9051282051282051
2023-01-31,fr,664,,,0.9503012048192772
2023-01-31,it,354,,,0.8615819209039548
2023-02-01,de,1800,1748,1054,0.8316666666666667
2023-02-01,en,1210,394,129,0.8876033057851239
2023-02-01,es,379,124,29,0.7229551451187335
2023-02-01,fr,710,251,115,0.9154929577464789
2023-02-01,it,347,180,49,0.8155619596541787
2023-02-02,de,1649,1785,1128,0.8459672528805336
2023-02-02,en,1211,537,155,0.9380677126341866
2023-02-02,es,359,250,39,0.7103064066852368
2023-02-02,fr,695,319,122,0.8820143884892087
2023-02-02,it,349,200,59,0.9255014326647565
2023-02-03,de,1219,1879,1240,0.7095980311730927
2023-02-03,en,1080,510,172,0.8888888888888888
2023-02-03,es,328,226,65,0.5823170731707317
2023-02-03,fr,665,346,122,0.8406015037593985
2023-02-03,it,335,159,61,0.9134328358208955
2023-02-04,de,456,1672,1245,0.7653508771929824
2023-02-04,en,497,400,166,0.8470824949698189
2023-02-04,es,99,263,99,0.37373737373737376
2023-02-04,fr,367,363,140,0.771117166212534
2023-02-04,it,184,107,36,0.9130434782608695
2023-02-05,de,441,1576,1436,0.9047619047619048
2023-02-05,en,611,359,222,0.9607201309328969
2023-02-05,es,125,234,165,0.824
2023-02-05,fr,264,340,173,0.8977272727272727
2023-02-05,it,94,89,50,0.9893617021276596
2023-02-06,de,1553,1545,1382,0.9587894397939472
2023-02-06,en,1060,439,249,0.9660377358490566
2023-02-06,es,376,224,149,0.8031914893617021
2023-02-06,fr,951,300,166,0.8969505783385909
2023-02-06,it,300,67,49,0.9166666666666666
2023-02-07,de,1561,1326,998,0.9654067905188981
2023-02-07,en,1178,427,150,0.969439728353141
2023-02-07,es,341,231,51,0.841642228739003
2023-02-07,fr,826,486,102,0.9309927360774818
2023-02-07,it,309,117,34,0.8932038834951457
2023-02-08,de,1544,1321,1001,0.9656735751295337
2023-02-08,en,1075,357,151,0.9813953488372092
2023-02-08,es,341,203,65,0.8563049853372434
2023-02-08,fr,650,336,104,0.9738461538461538
2023-02-08,it,245,162,51,0.9306122448979591
2023-02-09,de,1455,1488,1013,0.9580756013745705
2023-02-09,en,945,359,137,0.9661375661375662
2023-02-09,es,383,246,68,0.8015665796344648
2023-02-09,fr,694,227,89,0.9827089337175793
2023-02-09,it,281,135,41,0.9537366548042705
2023-02-10,de,1177,1306,993,0.8683092608326253
2023-02-10,en,895,337,136,0.9553072625698324
2023-02-10,es,244,233,56,0.7909836065573771
2023-02-10,fr,603,202,70,0.9469320066334992
2023-02-10,it,217,97,45,0.9354838709677419
2023-02-11,de,263,1210,961,0.5665399239543726
2023-02-11,en,272,278,122,0.9044117647058824
2023-02-11,es,75,204,66,0.8266666666666667
2023-02-11,fr,193,181,69,0.9378238341968912
2023-02-11,it,80,58,28,0.95
2023-02-12,de,623,1242,1102,0.913322632423756
2023-02-12,en,621,226,146,0.9790660225442834
2023-02-12,es,156,76,52,0.8717948717948718
2023-02-12,fr,419,132,91,0.9665871121718377
2023-02-12,it,132,37,27,0.9924242424242424
2023-02-13,de,1629,1411,1207,0.9662369551872314
2023-02-13,en,1137,284,156,0.9700967458223395
2023-02-13,es,366,150,43,0.8770491803278688
2023-02-13,fr,661,193,99,0.9697428139183056
